borrower_id,age,gender,education_level,employment_type,years_experience,household_size,rural_urban,monthly_income_usd,loan_amount_usd,loan_amount_local,tenor_days,term_months,interest_rate_apr,interest_rate_daily,repayment_frequency,grace_period_days,loan_purpose,has_collateral,collateral_type,group_lending,previous_loans_count,previous_defaults,credit_score,inflation_rate,region_gdp_growth,default_30d,default_90d,default
3b3b3d2e-4dca-419d-8ee4-0de6dbd79fe4,39,Female,None,Informal,10,2,Urban,72.56,80.34,1994.43,358,9,19.08,0.000523,Bi-weekly,3,Trading,0,None,0,0,0,544,11.8,0.1,0,0,1
ac8216ca-7ca6-4df9-9a1c-25ef87834bff,23,Female,Tertiary,Informal,7,8,Rural,205.02,206.33,4696.67,119,3,11.9,0.000326,Weekly,3,Agriculture,0,None,0,0,0,547,10.66,1.44,0,0,1
b58383e0-4435-43d0-8adc-869415ca760e,44,Female,Secondary,Informal,6,5,Urban,102.75,312.47,7726.03,280,6,19.54,0.000535,Bi-weekly,0,Education,0,None,1,1,1,390,5.38,2.56,0,1,1
4b8be200-a999-47c2-86f3-1fb5f289909e,46,Male,Primary,Informal,10,8,Rural,119.82,321.01,7272.35,12,3,14.03,0.000385,Monthly,8,Agriculture,0,None,1,0,0,566,10.11,-0.48,1,1,1
9c3c1281-d010-47a5-9e26-5b1364af4e87,18,Female,Primary,Informal,2,1,Rural,123.46,50.0,1297.19,260,24,14.73,0.000404,Monthly,3,Trading,1,Vehicle,0,1,1,428,9.84,1.67,0,0,0
30284fcc-6bc1-4f60-b91b-fb121ec6ccf8,19,Female,Tertiary,Informal,3,5,Rural,175.35,168.37,4097.5,327,3,15.33,0.00042,Monthly,5,Agriculture,0,None,0,5,1,442,11.28,2.19,0,0,0
e4bc5c69-c3d7-4615-b90d-67a1cf3eca71,37,Female,Secondary,Salaried,14,2,Urban,313.74,741.56,17891.27,351,3,21.3,0.000584,Monthly,5,Education,0,None,1,3,0,563,10.97,3.78,0,0,0
5c6de360-a68d-4f17-926f-cc18cc5ae85d,31,Female,Primary,Self-employed,1,1,Rural,119.85,276.54,6117.79,168,3,10.84,0.000297,Bi-weekly,4,Trading,0,None,0,4,0,561,10.58,4.78,0,0,0
84b3e6d8-87a1-4e7e-8910-11750b7c0cba,35,Male,None,Informal,2,3,Urban,41.73,60.37,1538.23,135,3,14.04,0.000385,Bi-weekly,2,Trading,0,None,1,0,0,480,8.14,2.92,0,0,0
4756b29a-fc29-4491-ab3c-8a466c2f76ae,25,Male,None,Informal,8,9,Urban,56.19,206.96,5916.93,246,6,17.25,0.000472,Monthly,5,Trading,0,None,1,2,0,401,10.75,2.63,1,1,1
